Subject,Start Date,All Day Event,Start Time,End Time,Location,Description
Godzilla 2 Has a Director,1/23/2017,FALSE,12:57 PM,,,Variety
Star Wars: Episode VIII Has an Official Title,1/23/2017,FALSE,8:38 AM,,,Variety
James Cameron to Produce Terminator Reboot; Tim Miller in Talks to Direct,1/20/2017,FALSE,5:38 PM,,,deadline
House of Cards Sets Season 5 Premiere Date,1/20/2017,FALSE,9:25 AM,,,Variety
Wayne’s World Returning to Theaters for 25th Anniversary,1/20/2017,FALSE,9:23 AM,,,New York Magazine/Vulture
Miguel Ferrer: 1955-2017,1/19/2017,FALSE,3:03 PM,,,Variety
Dwayne Johnson’s Black Adam to Get His Own Movie,1/19/2017,FALSE,1:38 PM,,,deadline
Sneaky Pete Renewed for Season 2,1/19/2017,FALSE,1:37 PM,,,Variety
"Stephen Gaghan to Write, Direct Adaptation of The Division Starring Jessica Chastain and Jake Gyllenhaal",1/19/2017,FALSE,10:57 AM,,,Variety
Patrick Stewart Sounds Like Poop,1/18/2017,FALSE,12:33 PM,,,ScreenRant
This Is Us Earns Two-Season Renewal,1/18/2017,FALSE,12:32 PM,,,Variety
NBC Confirms 10-Episode Will & Grace Revival,1/18/2017,FALSE,10:54 AM,,,Variety
Live-Action/Animated Lisa Frank Movie in Development,1/18/2017,FALSE,10:53 AM,,,Variety
Warner Bros. Mulling Attack on Titan Adaptation,1/18/2017,FALSE,3:47 AM,,,deadline
Goosebumps Sequel Set for 2018,1/18/2017,FALSE,3:47 AM,,,ScreenRant
White Men Can’t Jump Remake in Development,1/17/2017,FALSE,11:30 AM,,,Hollywood Reporter
Netflix Schedules Marvel’s Defenders for Summer 2017 Premiere,1/12/2017,FALSE,11:25 AM,,,ScreenRant
DC’s Green Lantern Corps Has Its Writers,1/12/2017,FALSE,11:24 AM,,,Hollywood Reporter
Atlanta Won’t Be Back Until 2018,1/12/2017,FALSE,9:29 AM,,,We Got This Covered
American Horror Story Earns Two-Season Renewal,1/12/2017,FALSE,8:27 AM,,,ScreenRant
Anna Kendrick Might Be Santa Claus,1/12/2017,FALSE,4:19 AM,,,Variety
Zoe Saldana Joins My Little Pony,1/12/2017,FALSE,4:18 AM,,,AV Club
Peter Dinklage Rumored for Avengers: Infinity War,1/11/2017,FALSE,5:21 PM,,,Variety
Vin Diesel Thinks We’ll Get Another xXx Movie,1/11/2017,FALSE,5:20 PM,,,Variety
Will Smith in Talks for Dumbo,1/11/2017,FALSE,1:24 PM,,,Hollywood Reporter
"Fox Renews Empire, Orders More Episodes of The Mick",1/11/2017,FALSE,10:06 AM,,,New York Magazine/Vulture
Andy Cohen to Host New Love Connection,1/11/2017,FALSE,10:05 AM,,,Variety
Woody Harrelson Confirmed for Han Solo Movie,1/11/2017,FALSE,9:09 AM,,,StarWars.com
The Coen Brothers Head to TV with Buster Scruggs,1/10/2017,FALSE,6:25 PM,,,Variety
"The CW Renews The Flash, Crazy Ex-Girlfriend, More",1/8/2017,FALSE,9:44 AM,,,Variety
Om Puri: 1950-2017,1/6/2017,FALSE,4:10 AM,,,Variety
Thor: Ragnarok Has an Official Synopsis,1/5/2017,FALSE,2:03 PM,,,Collider.com
The CW Is Rebooting Charmed,1/5/2017,FALSE,12:06 PM,,,Hollywood Reporter
Girl Meets World to Conclude with Season 3 Finale,1/5/2017,FALSE,5:02 AM,,,Variety
Jason Bateman and Rachel McAdams Plan Game Night,1/4/2017,FALSE,11:16 AM,,,Variety
Sylvester Stallone and Adam Driver Are Tough as They Come,1/4/2017,FALSE,3:28 AM,,,deadline
Woody Harrelson Rumored for Han Solo Movie,1/3/2017,FALSE,5:49 PM,,,Variety
Terrence Malick’s Song to Song Scheduled for March 17,1/3/2017,FALSE,8:21 AM,,,indieWIRE
Sylvester Stallone Promises “Something Different” for Expendables 4,1/3/2017,FALSE,8:19 AM,,,ScreenRant
Amazon Renews The Man in the High Castle for Season 3,1/3/2017,FALSE,8:09 AM,,,Moviefone
Ryan Gosling Is Damian Chazelle’s First Man,12/29/2016,FALSE,2:52 PM,,,Variety
Debbie Reynolds: 1932-2016,12/28/2016,FALSE,5:56 PM,,,Variety
Carrie Fisher: 1956-2016,12/27/2016,FALSE,10:16 AM,,,New York Times
Is Lucasfilm Planning a 4K Reissue of A New Hope?,12/23/2016,FALSE,8:19 PM,,,ScreenRant
A Bad Moms Christmas Planned for 2017,12/23/2016,FALSE,8:18 PM,,,Variety
Denis Villeneuve in Talks for Dune,12/21/2016,FALSE,1:27 PM,,,Variety
Shameless Renewed for Season 8,12/19/2016,FALSE,1:23 PM,,,Variety
Julia Roberts to Star in Today Will Be Different TV Series,12/15/2016,FALSE,7:02 PM,,,Variety
Russell Crowe to Star in Stephen King’s Revival,12/15/2016,FALSE,1:55 PM,,,ScreenRant
Roland Emmerich in Talks to Direct Dark Matter,12/15/2016,FALSE,9:56 AM,,,Variety
CBS Is Planning a Honeymooners Reboot,12/15/2016,FALSE,8:34 AM,,,Variety
Molly Ringwald Joins Riverdale,12/14/2016,FALSE,12:41 PM,,,Variety
Alex Timbers in Talks to Direct Emma Stone in Cruella,12/14/2016,FALSE,10:38 AM,,,Variety
Alan Thicke: 1947-2016,12/14/2016,FALSE,3:43 AM,,,Los Angeles Times
Ruby Rose in Talks for Pitch Perfect 3,12/14/2016,FALSE,3:43 AM,,,Variety
David Ayer to Direct Margot Robbie in DC’s Gotham City Sirens,12/13/2016,FALSE,4:16 PM,,,Hollywood Reporter
Ben Mendelsohn Joins Robin Hood: Origins,12/13/2016,FALSE,4:15 PM,,,Variety
Chris Evans is Ruben Fleischer’s Jekyll,12/13/2016,FALSE,4:14 PM,,,Hollywood Reporter
Netflix Cancels Marco Polo,12/13/2016,FALSE,4:13 PM,,,Variety
Patrick Wilson Joins Aquaman,12/12/2016,FALSE,5:29 PM,,,Variety
Mark Wahlberg Exits Uncharted,12/12/2016,FALSE,5:29 PM,,,We Got This Covered
"Spider-Man 2, Bad Boys 4 Get New 2019 Dates",12/10/2016,FALSE,7:12 AM,,,Variety
Trolls Director Mike Mitchell Attached to Animated Puff the Magic Dragon,12/9/2016,FALSE,11:02 AM,,,Variety
Louis CK’s Horace and Pete Is Now on Hulu,12/9/2016,FALSE,9:23 AM,,,Uproxx
Fast and Furious 8 Has a New Official Title,12/9/2016,FALSE,9:22 AM,,,Variety
Kate McKinnon Is The Lunch Witch,12/7/2016,FALSE,3:11 PM,,,Variety
Greg Berlanti to Direct New Little Shop of Horrors,12/7/2016,FALSE,1:38 PM,,,Variety
Walton Goggins Joins Tomb Raider,12/7/2016,FALSE,1:13 PM,,,Variety
Damian Lewis in Talks for Ocean’s Eight,12/7/2016,FALSE,1:13 PM,,,Variety
King Arthur and CHiPs Get New Release Dates,12/7/2016,FALSE,3:33 AM,,,Variety
The Inhumans Adds Iron Fist Showrunner,12/6/2016,FALSE,2:20 PM,,,Variety
The Leftovers Sets Season 3 Premiere,12/6/2016,FALSE,2:20 PM,,,Variety
Baywatch Moves Back a Week,12/6/2016,FALSE,9:43 AM,,,Variety
How to Train Your Dragon 3 Bumped to 2019,12/5/2016,FALSE,3:43 PM,,,Variety
Jimmy Kimmel to Host 2017 Academy Awards,12/5/2016,FALSE,1:09 PM,,,Variety
Luke Cage Renewed for Season 2,12/4/2016,FALSE,6:28 PM,,,Variety
Aquaman Gets 2018 Release Date,12/2/2016,FALSE,5:57 PM,,,Variety
Amy Schumer to Star in Live-Action Barbie Movie,12/2/2016,FALSE,4:02 PM,,,Variety
Sons of Anarchy Spinoff Earns Pilot Order at FX,12/1/2016,FALSE,4:56 PM,,,Variety
Justice Smith Joins Jurassic World Sequel,12/1/2016,FALSE,4:55 PM,,,Hollywood Reporter
Jackie Chan Takes Five Against a Bullet,12/1/2016,FALSE,4:54 PM,,,ScreenRant
Netflix Enables Offline Viewing,11/30/2016,FALSE,12:55 PM,,,New York Times
Masters of Sex Canceled,11/30/2016,FALSE,12:55 PM,,,Variety
ABC Schedules Inhumans Debut,11/30/2016,FALSE,10:05 AM,,,Hollywood Reporter
Brad Peyton Talks Rampage,11/30/2016,FALSE,10:05 AM,,,ScreenRant
Bradley Cooper Joins WWII Drama Atlantic Wall,11/29/2016,FALSE,4:35 PM,,,Variety
A Jason Bourne Sequel Remains a Possibility,11/29/2016,FALSE,12:40 PM,,,ScreenRant
Lin-Manuel Miranda to Tell Kingkiller Chronicles,11/29/2016,FALSE,12:40 PM,,,Hollywood Reporter
Jodie Foster Books Hotel Artemis,11/29/2016,FALSE,12:38 PM,,,Variety
Amazon Plans Sigmund and the Sea Monsters Revival,11/29/2016,FALSE,12:38 PM,,,Variety
Tom Holland to Join Daisy Ridley for Chaos Walking,11/28/2016,FALSE,6:41 PM,,,Hollywood Reporter
Daniel Trachtenberg in Talks to Direct Harry Houdini Biopic,11/28/2016,FALSE,6:41 PM,,,Variety
Star Trek: Discovery Adds Michelle Yeoh,11/23/2016,FALSE,4:58 PM,,,Variety
Alien: Covenant Moves Up to May 2017,11/23/2016,FALSE,4:54 PM,,,Hollywood Reporter
Shannen Doherty Joins TV Land’s Heathers,11/22/2016,FALSE,3:14 PM,,,Variety
Highlander Reboot Lands John Wick Director,11/22/2016,FALSE,10:43 AM,,,Hollywood Reporter
Paul W.S. Anderson Plans Monster Hunter Adaptation,11/22/2016,FALSE,3:38 AM,,,deadline
Angela Bassett Joins Black Panther,11/21/2016,FALSE,2:19 PM,,,Variety
Dave Chappelle to Film Three Netflix Specials,11/21/2016,FALSE,11:03 AM,,,Variety
TNT Orders Snowpiercer Series Pilot,11/21/2016,FALSE,11:01 AM,,,Variety
Emilia Clarke Joins Han Solo Movie,11/18/2016,FALSE,7:00 PM,,,StarWars.com
David Leitch to Direct Deadpool 2,11/18/2016,FALSE,6:59 PM,,,Hollywood Reporter
Simon McQuoid to Direct New Mortal Kombat Movie,11/18/2016,FALSE,6:58 PM,,,Variety
Marc Forster to Direct Disney’s Christopher Robin,11/18/2016,FALSE,1:18 PM,,,Variety
The New Stargate Probably Isn’t Happening,11/17/2016,FALSE,8:54 AM,,,Empire Magazine
Now There’s a Blaxploitation Streaming Service,11/17/2016,FALSE,8:53 AM,,,Variety
Mark Osborne On Board for Bone Comic Adaptation,11/16/2016,FALSE,4:07 PM,,,Hollywood Reporter
Samantha Bee’s Full Frontal Renewed Through 2017,11/16/2016,FALSE,10:18 AM,,,Variety
Steve Carell in Talks for Minecraft,11/15/2016,FALSE,5:18 PM,,,Variety
Gavin O’Connor to Direct ‘Edgy’ Green Hornet Movie,11/15/2016,FALSE,11:27 AM,,,deadline
Matt Damon to Appear in Ocean’s Eight,11/15/2016,FALSE,9:19 AM,,,ScreenRant
Marvel’s The Inhumans Will Be an ABC Series…and Debut on IMAX,11/14/2016,FALSE,6:19 PM,,,Variety
Tim Story in Talks to Direct Corduroy Movie,11/14/2016,FALSE,6:16 PM,,,Hollywood Reporter
A Wrinkle in Time Scheduled for Spring 2018,11/14/2016,FALSE,1:36 PM,,,Variety
One Mississippi Renewed for Season Two,11/14/2016,FALSE,11:08 AM,,,New York Magazine/Vulture
David Yates on Board to Direct Entire Fantastic Beasts Franchise,11/12/2016,FALSE,7:35 AM,,,Hollywood Reporter
Scarlett Johansson Books Psychological Thriller Tangerine,11/12/2016,FALSE,7:34 AM,,,Variety
Robert Eggers Talks Nosferatu Remake,11/12/2016,FALSE,7:32 AM,,,indieWIRE
Croods 2 Canceled,11/12/2016,FALSE,7:31 AM,,,Variety
Robert Vaughn: 1932-2016,11/11/2016,FALSE,2:13 PM,,,New York Times
The Pacific Rim Sequel Has a Title,11/9/2016,FALSE,12:40 PM,,,ScreenRant
X-Men Franchise Reportedly Being ‘Reconfigured’,11/9/2016,FALSE,7:35 AM,,,Hollywood Reporter
Tom Holland Is Booked for Six Marvel Movies,11/9/2016,FALSE,7:00 AM,,,Hollywood Reporter
Mission: Impossible 6 Scheduled for July 2018,11/8/2016,FALSE,5:31 PM,,,Variety
Max Landis Working on American Werewolf in London Remake,11/8/2016,FALSE,8:03 AM,,,Variety
Robert De Niro and Julianne Moore to Star in David O. Russell Series for Amazon,11/8/2016,FALSE,8:00 AM,,,Variety
Young Justice Is Getting a Third Season,11/8/2016,FALSE,7:59 AM,,,New York Magazine/Vulture
Toby Jones and Rafe Spall in Talks for Jurassic World Sequel,11/7/2016,FALSE,1:29 PM,,,Variety
Sean Astin and Paul Reiser Join Stranger Things Season 2,11/7/2016,FALSE,1:29 PM,,,Variety
"Curb Your Enthusiasm Adds Ted Danson, Mary Steenburgen",11/7/2016,FALSE,1:28 PM,,,Variety
Big Bang Theory Prequel Spinoff a Possibility,11/7/2016,FALSE,1:27 PM,,,Variety
Michael Giacchino to Score Spider-Man: Homecoming,11/6/2016,FALSE,7:29 PM,,,Hollywood Reporter
Rami Malek Joins Freddie Mercury Biopic,11/4/2016,FALSE,5:52 PM,,,Variety
Ciaran Hinds Joins Justice League,11/4/2016,FALSE,1:18 PM,,,TheWrap
Universal Developing Live-Action Voltron,11/4/2016,FALSE,1:14 PM,,,Collider.com
Simpsons Renewed for Seasons 29 and 30,11/4/2016,FALSE,1:14 PM,,,Variety
"Sandman Screenwriter Announces Exit, Recommends TV Adaptation",11/4/2016,FALSE,9:29 AM,,,io9
Tyler Perry Developing Another Madea Movie,11/3/2016,FALSE,2:52 PM,,,Variety
Jumanji Delayed to December 2017,11/3/2016,FALSE,2:51 PM,,,Moviefone
Baywatch Writers Board Starship Troopers Relaunch,11/3/2016,FALSE,12:38 PM,,,Hollywood Reporter
There’s a Furby Movie in the Works,11/3/2016,FALSE,10:16 AM,,,Variety
Dark Tower Delayed Until Summer 2017,11/3/2016,FALSE,10:08 AM,,,Variety
Arnold Schwarzenegger and Jackie Chan to Co-Star in Viy-2,11/2/2016,FALSE,5:32 PM,,,Variety
Longmire to Conclude After Season 6,11/2/2016,FALSE,5:31 PM,,,Variety
Johnny Depp Joins Fantastic Beasts Sequel,11/1/2016,FALSE,4:57 PM,,,Variety
Zach Galifianakis in Talks for A Wrinkle in Time,11/1/2016,FALSE,2:46 PM,,,Hollywood Reporter
Rick Famuyiwa Exits The Flash,10/31/2016,FALSE,6:10 PM,,,Variety
Tim Miller Attached to Sonic the Hedgehog Movie,10/31/2016,FALSE,6:09 PM,,,Hollywood Reporter
Disney Developing Live-Action Snow White,10/31/2016,FALSE,6:09 PM,,,Variety
American Horror Story Announces Crossover Season,10/31/2016,FALSE,9:15 AM,,,Looper
Tom Cruise to Star in Biblical Epic Methuselah,10/30/2016,FALSE,5:59 AM,,,deadline
Tom Hardy to Play Al Capone in Fonzo,10/30/2016,FALSE,5:59 AM,,,deadline
And Now There’s a Rambo Reboot in the Works,10/28/2016,FALSE,1:23 PM,,,Hollywood Reporter
Deadpool 2 May Have Found Its Director,10/28/2016,FALSE,10:59 AM,,,Variety
Doug Liman Talks Edge of Tomorrow Follow-Up,10/28/2016,FALSE,10:58 AM,,,Collider.com
Jennifer Lopez to Star in Bye Bye Birdie Live! for NBC,10/28/2016,FALSE,3:54 AM,,,Variety
NBC in Talks for Will & Grace Revival,10/27/2016,FALSE,2:02 PM,,,Variety
Jim Gaffigan Set to Join Fargo,10/27/2016,FALSE,9:46 AM,,,Hollywood Reporter
J.J. Abrams’ Cloverfield Universe to Expand with God Particle,10/27/2016,FALSE,6:30 AM,,,TheWrap
Bryan Fuller Hands Over Showrunner Duties on Star Trek: Discovery,10/26/2016,FALSE,5:06 PM,,,Variety
Kevin Hart Is Santa Claus,10/26/2016,FALSE,2:38 PM,,,Variety
Incredibles 2 and Toy Story 4 Switch Release Dates,10/26/2016,FALSE,12:33 PM,,,Variety
Sherlock Sets January 2017 Return,10/26/2016,FALSE,12:32 PM,,,ScreenCrush
Gerard Butler to Return for Angel Has Fallen,10/26/2016,FALSE,12:31 PM,,,Variety
Disney Planning Muppet Babies Revival,10/26/2016,FALSE,8:35 AM,,,Variety
Ice Cube Developing Contemporary Oliver Twist Musical,10/25/2016,FALSE,5:53 PM,,,Variety
Shawn Levy to Direct Uncharted Adaptation,10/25/2016,FALSE,3:14 PM,,,Variety
Ed Helms and Tracy Morgan Play TAG,10/25/2016,FALSE,3:13 PM,,,Variety
Uwe Boll Calls It Quits,10/25/2016,FALSE,3:13 PM,,,Metro
Black Panther Reportedly Starts Filming in January,10/25/2016,FALSE,1:49 PM,,,ScreenRant
Knight Rider Is Being Rebooted Again,10/25/2016,FALSE,1:48 PM,,,Variety
Shaun the Sheep Is Getting a Sequel,10/25/2016,FALSE,3:58 AM,,,Variety
Peter Jackson Starts Mortal Engines,10/24/2016,FALSE,3:42 PM,,,Variety
The New Alien Nation Is Not a Remake,10/24/2016,FALSE,2:23 PM,,,ScreenCrush
Van Helsing Screenwriter Says It’s Part of Universal’s Monster Universe ‘Right Now’,10/24/2016,FALSE,2:23 PM,,,CinemaBlend.com
Tim Miller Exits Deadpool Sequel,10/22/2016,FALSE,1:05 PM,,,Variety
Donald Glover Is Your New Lando Calrissian,10/21/2016,FALSE,4:53 PM,,,Variety
Chris Pine Joins A Wrinkle in Time,10/21/2016,FALSE,4:52 PM,,,Variety
The Godzilla Sequel Has a Director,10/21/2016,FALSE,1:37 PM,,,ScreenCrush
Jennifer Lawrence Starring in Zelda Fitzgerald Biopic,10/21/2016,FALSE,1:36 PM,,,Variety
Leonardo DiCaprio to Play Sam Phillips: The Man Who Invented Rock ‘N’ Roll,10/21/2016,FALSE,1:35 PM,,,Variety
Carol Burnett and Amy Poehler to Star in ABC Sitcom,10/21/2016,FALSE,1:34 PM,,,Variety
Black Panther Adds Letitia Wright,10/20/2016,FALSE,4:08 PM,,,Variety
Gugu Mbatha-Raw Joins A Wrinkle in Time,10/20/2016,FALSE,4:05 PM,,,Hollywood Reporter
Krampus Writers Board Godzilla Sequel,10/20/2016,FALSE,11:01 AM,,,Variety
Mark Ruffalo Could Have Been the Original Dr. Doom,10/20/2016,FALSE,9:50 AM,,,CinemaBlend.com
Enemy of  the State TV Series in Development,10/20/2016,FALSE,9:49 AM,,,Variety
Smithsonian Turns to Crowdfunding to Preserve Wizard of Oz Ruby Slippers,10/20/2016,FALSE,9:49 AM,,,NPR
Alyssa Milano Joins Wet Hot American Summer,10/19/2016,FALSE,3:00 PM,,,deadline
Colin Firth Joins Mary Poppins Sequel,10/19/2016,FALSE,2:56 PM,,,Variety
Harry Shearer Sues Over Spinal Tap Royalties,10/19/2016,FALSE,12:33 PM,,,Los Angeles Times
Get Ready for a New Willy Wonka Movie,10/19/2016,FALSE,11:49 AM,,,Variety
Ready Player One and Blade Runner 2049 Are Headed for IMAX,10/19/2016,FALSE,10:19 AM,,,Variety
Space Jam 20th Anniversary Screenings Scheduled,10/18/2016,FALSE,4:54 PM,,,Hollywood Reporter
Joseph Gordon-Levitt Is Sovereign,10/18/2016,FALSE,2:44 PM,,,Hollywood Reporter
Roland Emmerich Weighs in on Independence Day‘s Franchise Future,10/18/2016,FALSE,2:43 PM,,,ComingSoon.net
American Crime Story Renewed for Season 3,10/18/2016,FALSE,2:43 PM,,,Variety
Michael Moore Announces New TrumpLand Documentary,10/18/2016,FALSE,2:42 PM,,,New York Times
Legion Confirmed for February Premiere,10/18/2016,FALSE,2:41 PM,,,ScreenRant
Paddington Sequel Adds Hugh Grant and Brendan Gleeson,10/18/2016,FALSE,2:41 PM,,,Variety
Tom Cruise Talks Top Gun 2,10/17/2016,FALSE,11:39 AM,,,ScreenRant
Taika Watiti Promises ‘Out There’ Thor: Ragnarok,10/17/2016,FALSE,10:40 AM,,,Moviefone
Wolverine 3 May Have Revealed a Crucial Character,10/17/2016,FALSE,10:40 AM,,,Hollywood Reporter
Amazon Planning Bonfire of the Vanities Event Series,10/17/2016,FALSE,10:39 AM,,,Variety
Hulu Wants More Difficult People,10/17/2016,FALSE,10:38 AM,,,Variety
Bosch Earns Season 4 Renewal,10/17/2016,FALSE,10:38 AM,,,Variety
The Coen Brothers Enter Dark Web,10/14/2016,FALSE,11:43 AM,,,Hollywood Reporter
Get Ready for Ride Along 3,10/13/2016,FALSE,6:51 PM,,,Variety
Fantastic Beasts Will Launch a Five-Film Franchise,10/13/2016,FALSE,1:38 PM,,,Variety
The Live-Action Lion King Has a Writer,10/13/2016,FALSE,12:56 PM,,,Variety
Scarlett Johansson Raises Hopes for a Solo Black Widow Movie,10/13/2016,FALSE,10:47 AM,,,Variety
Justin Theroux Joins Paul Rudd and Alexander Skarsgard in Mute,10/12/2016,FALSE,3:44 AM,,,Variety
Benicio del Toro Departs Predator,10/11/2016,FALSE,5:25 PM,,,Hollywood Reporter
Halt and Catch Fire Will Be Back for One Last Season,10/11/2016,FALSE,3:51 AM,,,Variety
Guy Ritchie Directing Live-Action Aladdin,10/10/2016,FALSE,2:31 PM,,,Variety
John Wick 3 Already in Development,10/10/2016,FALSE,2:31 PM,,,ScreenRant
HBO to Air Digitally Restored Fraggle Rock Reruns in HD,10/10/2016,FALSE,2:30 PM,,,New York Magazine/Vulture
Bad Moms Is Getting a Bad Dads Spinoff,10/10/2016,FALSE,2:29 PM,,,Hollywood Reporter
Andrzej Wajda: 1926-2016,10/9/2016,FALSE,3:44 PM,,,Variety
Sigourney Weaver Is The Defenders‘ Villain,10/9/2016,FALSE,6:15 AM,,,New York Magazine/Vulture
Black Panther Adds Forest Whitaker,10/7/2016,FALSE,6:32 PM,,,Variety
Eternal Sunshine of the Spotless Mind TV Series in Development,10/7/2016,FALSE,6:31 PM,,,Hollywood Reporter
Marvel Reportedly ‘Doing Something’ with Blade,10/7/2016,FALSE,6:31 PM,,,ComicBook.com
Lee Daniels Returns to Direct Richard Pryor Biopic,10/6/2016,FALSE,11:53 AM,,,Variety
Adam Shankman to Direct Enchanted Sequel,10/6/2016,FALSE,11:06 AM,,,Hollywood Reporter
The Blade Runner Sequel Has a Title,10/6/2016,FALSE,10:28 AM,,,Variety
Emily Mortimer Joins Mary Poppins Returns,10/6/2016,FALSE,10:27 AM,,,Variety
Ocean’s Eight Scheduled for Summer 2018,10/6/2016,FALSE,3:54 AM,,,Variety
Gears of War Movie in Development at Universal,10/5/2016,FALSE,4:03 PM,,,Variety
Suicide Squad Extended Cut Scheduled for November,10/5/2016,FALSE,2:03 PM,,,Variety
24: Legacy Expands Its Cast,10/5/2016,FALSE,2:03 PM,,,Variety
Wolverine 3 Has an Official Title: Logan,10/5/2016,FALSE,8:11 AM,,,ScreenRant
American Horror Story Renewed for Season 7,10/4/2016,FALSE,12:59 PM,,,Variety
Disney Schedules Live-Action Mulan,10/4/2016,FALSE,12:58 PM,,,Variety
Netflix’s Lemony Snicket Series Sets Premiere Date,10/4/2016,FALSE,12:58 PM,,,Variety
Rachels McAdams and Weisz Team for Disobedience,10/4/2016,FALSE,12:57 PM,,,Variety
Christopher Walken and Robert De Niro to Star in The War with Grandpa,10/4/2016,FALSE,12:55 PM,,,Variety
Marvel’s Iron Fist Sets Netflix Premiere,10/4/2016,FALSE,3:52 AM,,,Variety
Chevy Chase Commits to Federal Offense,10/3/2016,FALSE,3:45 PM,,,Hollywood Reporter
"Suspiria Remake to Star Tilda Swinton, Chloe Moretz, Dakota Johnson",10/3/2016,FALSE,11:44 AM,,,Variety
The Batman Is the Working Title for Ben Affleck’s Movie,10/3/2016,FALSE,9:59 AM,,,Hollywood Reporter
The Harry Potter Franchise Is Coming Back to IMAX,10/3/2016,FALSE,9:58 AM,,,Hollywood Reporter
The Gong Show Is Coming Back Thanks to Will Arnett,10/3/2016,FALSE,9:57 AM,,,Variety
Aquarius Canceled,10/2/2016,FALSE,8:40 AM,,,Variety
Angelina Jolie May Shoot Like a Girl,9/30/2016,FALSE,12:55 PM,,,Variety
Colin Trevorrow Promises a ‘More Suspenseful and Scary’ Jurassic World Sequel,9/30/2016,FALSE,12:48 PM,,,Collider.com
Paulo Coelho’s The Alchemist Is Getting the Film Treatment,9/30/2016,FALSE,12:47 PM,,,Variety
Chris Hemsworth and Michael Shannon Are Horse Soldiers,9/30/2016,FALSE,12:44 PM,,,Variety
The Purge May Spin Off an ‘Interwoven Anthology’ TV Series,9/30/2016,FALSE,9:21 AM,,,CinemaBlend.com
What We Do in the Shadows TV Spinoff in Development,9/30/2016,FALSE,3:53 AM,,,Hollywood Reporter
Johnny Depp in Talks for Murder on the Orient Express,9/29/2016,FALSE,11:02 AM,,,Hollywood Reporter
Netflix to Release Duncan Jones’ Mute,9/29/2016,FALSE,8:35 AM,,,Empire Magazine
Adventure Time to Conclude in 2018,9/29/2016,FALSE,7:31 AM,,,deadline
Justin Lin to Direct,9/28/2016,FALSE,6:10 PM,,,Los Angeles Times
High Maintenance Renewed for Season 2,9/28/2016,FALSE,8:17 AM,,,Variety
Jon Favreau to Helm Live-Action Lion King “Reimagining”,9/28/2016,FALSE,8:17 AM,,,Collider.com
Doctor Strange Arriving Early in Select IMAX Theaters,9/28/2016,FALSE,4:00 AM,,,Collider.com
Takashi Miike Directing Jojo Adaptation for Warner Bros.,9/28/2016,FALSE,3:59 AM,,,Variety
Mindy Kaling and Emma Thompson to Star in Untitled Talk Show Movie,9/28/2016,FALSE,3:58 AM,,,Variety
This Is Us Earns Full-Season Pickup,9/28/2016,FALSE,3:56 AM,,,Los Angeles Times
Herschell Gordon Lewis: 1929-2016,9/28/2016,FALSE,3:56 AM,,,New York Times
Viola Davis to Lead Steve McQueen Heist Thriller Widows,9/27/2016,FALSE,2:07 PM,,,Variety
The Strain‘s Fourth Season Will Be Its Last,9/27/2016,FALSE,2:06 PM,,,Variety
Hayley Atwell Wants More Agent Carter,9/27/2016,FALSE,2:06 PM,,,ScreenRant
Amazon Orders Three Pilots to Series,9/27/2016,FALSE,9:58 AM,,,Variety
Martin Scorsese’s Silence Arrives in December,9/26/2016,FALSE,12:32 PM,,,The Playlist
MacGruber 2 Script in Development,9/26/2016,FALSE,12:31 PM,,,Collider.com
Daisy Ridley Joins Peter Rabbit,9/26/2016,FALSE,9:48 AM,,,Variety
Julia Roberts Gets Framed,9/24/2016,FALSE,7:12 AM,,,Variety
New Friday the 13th Delayed to October 2017,9/23/2016,FALSE,3:56 AM,,,deadline
Rings Bumped to February,9/23/2016,FALSE,3:21 AM,,,Variety
Bill Hader Joins Power Rangers,9/23/2016,FALSE,3:21 AM,,,Hollywood Reporter
The Han Solo Movie Has Its Cinematographer,9/22/2016,FALSE,11:37 AM,,,CinemaBlend.com
The Equalizer Sequel Set to Start Filming in 2017,9/22/2016,FALSE,11:36 AM,,,Collider.com
Magnum P.I. Sequel Series in Development at ABC,9/22/2016,FALSE,11:35 AM,,,Variety
Josh Gad to Wage Toy Wars for Amazon,9/21/2016,FALSE,1:51 PM,,,deadline
The Dark Tower TV Show Confirmed,9/21/2016,FALSE,9:34 AM,,,Entertainment Weekly
Fuller House Sets Season 2 Premiere,9/21/2016,FALSE,9:34 AM,,,Entertainment Weekly
Jeffrey Tambor Hints at January Start for Arrested Development Season 5,9/21/2016,FALSE,9:33 AM,,,CinemaBlend.com
Idiocracy Is Returning to Theaters,9/21/2016,FALSE,9:07 AM,,,Hollywood Reporter
Curtis Hanson: 1945-2016,9/21/2016,FALSE,3:22 AM,,,New York Times
Stephen King’s Hearts in Atlantis Novella Getting Feature Adaptation,9/21/2016,FALSE,3:21 AM,,,Variety
FX Renews Better Things and Atlanta,9/20/2016,FALSE,1:35 PM,,,Variety
Roadies Canceled at Showtime,9/16/2016,FALSE,1:24 PM,,,Variety
Tom Cruise Signs on for Mission: Impossible 6,9/16/2016,FALSE,12:36 PM,,,Hollywood Reporter
Now They’re Remaking High Noon,9/16/2016,FALSE,12:35 PM,,,Hollywood Reporter
Todd McFarlane Talks Spawn Reboot,9/16/2016,FALSE,12:35 PM,,,ScreenRant
